State Name,District Name,District Helpline Number,State Helpline Number
Gujarat,Bhavnagar,1077,104
Gujarat,Botad,1077,104
Gujarat,Chhota Udaipur,1077,104
Gujarat,Dahod,2573238277,104
Gujarat,Devbhoomi Dwarka,1077,104
Gujarat,Gandhinagar,1077,104
Gujarat,Gir Somnath,1077,104
Gujarat,Jamnagar,1077,104
Gujarat,Junagadh,2852633131,104
Gujarat,Kachchh,1077,104
Gujarat,Kheda,1077,104
Gujarat,Mahisagar,2674252300,104
Gujarat,Mahesana,1077,104
Gujarat,Morbi,1077,104
Gujarat,Narmada,1077,104
Gujarat,Navsari,1077,104
Gujarat,Panch mahals,1077,104
Gujarat,Patan,1077,104
Gujarat,Porbandar,1077,104
Gujarat,Rajkot,1077,104
Gujarat,Sabarkantha,1077,104
Gujarat,Surat,1077,104
Gujarat,Surendranagar,1077,104
Gujarat,Tapi,1077,104
Gujarat,The Dangs,1077,104
Gujarat,Vadodara,1077,104
Gujarat,Valsad,1077,104
Haryana,Ambala,0171-2530400,8558893911
Haryana,Bhiwani,01664-242893,8558893911
Haryana,Charkhi Dadri,01250-222555,8558893911
Haryana,Faridabad,0129-2221000,8558893911
Haryana,Fatehabad,01667-230018,8558893911
Haryana,Gurgaon,9953618102,8558893911
Haryana,Hisar,0166-2231137,8558893911
Haryana,Jhajjar,01251-253118,8558893911
Haryana,Kaithal,01746-222152,8558893911
Haryana,Karnal,9817701572,8558893911
Haryana,Kurukshetra,1744259285,8558893911
Haryana,Mahendragarh,01282-251202,8558893911
Haryana,Nuh,01267-274600,8558893911
Haryana,Palwal,01275-298052 ,8558893911
Haryana,Panchkula,0172-2573901,8558893911
Haryana,Panipat,0180-2640255,8558893911
Haryana,Rewari,1274225145,8558893911
Haryana,Rohtak,01262-244163,8558893911
Haryana,Sirsa,9812300947,8558893911
Haryana,Yamuna Nagar,01732-237801,8558893911
Himachal Pradesh,Bilaspur (HP),1077,104
Himachal Pradesh,Chamba,1077,104
Himachal Pradesh,Hamirpur(HP),01972- 221277,104
Himachal Pradesh,Kangra,1077,104
Himachal Pradesh,Kinnaur,1077,104
Himachal Pradesh,Kullu,1077,104
Himachal Pradesh,Lahul & Spiti,1077,104
Himachal Pradesh,Mandi,1077,104
Himachal Pradesh,Shimla,1077,104
Himachal Pradesh,Siramur,1077,104
Himachal Pradesh,Solan,01792-221234,104
Himachal Pradesh,Una,1077,104
Jharkhand,Bokaro,06542-223475,104
Jharkhand,Chatra,06541-253219,104
Jharkhand,Deoghar,9771935367,104
Jharkhand,Dhanbad,9835352971,104
Jharkhand,Dumka,9508250080,104
Jharkhand,East-Singhbhum,0657-2440111,104
Jharkhand,Garhwa,6561222236,104
Jharkhand,Giridh,06532-228828,104
Jharkhand,Godda,06422-222002,104
Jharkhand,Gumla,9973763799,104
Jharkhand,Hazaribag,8002529349,104
Jharkhand,Jamtara,06433-222245,104
Jharkhand,Khunti,7979981076,104
Jharkhand,Koderma,06534-252685,104
Jharkhand,Latehar,06565-247981,104
Jharkhand,Lohardaga,100,104
Jharkhand,Pakur,06435-222065,104
Jharkhand,Palamau,06562-222077,104
Jharkhand,Ramgarh,06553-261522,104
Jharkhand,Ranchi,1950,104
Jharkhand,Sahibganj,9006963963,104
Jharkhand,Seraikela-Kharsawan,9798302485,104
Jharkhand,Simdega,06207-651659,104
Jharkhand,West-Sighbhum,7479411489,104
Karnataka,Bagalkot,1077,104
Karnataka,Bangalore,080-22967200,104
Karnataka,Bangalore Rural,080-29781021,104
Karnataka,Belgaum,0831-2424284,104
Karnataka,Bellary,08392 -277100,104
Karnataka,Bidar,18004254316,104
Karnataka,Bijapur (KAR),8352221261,104
Karnataka,Chamrajnagar,08226-223160,104
Karnataka,Chikkaballapur,08156- 277071,104
Karnataka,Chickmagalur,08262-238950,104
Karnataka,Chitradurga,08194-222050,104
Karnataka,Dakshina Kannada,0824-2442590,104
Karnataka,Davangere,08192-257778,104
Karnataka,Dharwad,08362-447547,104
Karnataka,Gadag,08372-239177,104
Karnataka,Gulbarga,08472-278604,104
Karnataka,Hassan,08172-261111,104
Karnataka,Haveri,08375-249102,104
Karnataka,Kodagu,08272 – 221077,104
Karnataka,Kolar,08152-243521,104
Karnataka,Koppal,08539-225001,104
Karnataka,Mandya,08232-224655,104
Karnataka,Mysore,0821-2423800,104
Karnataka,Raichur,08532-228559,104
Karnataka,Ramanagar,8277517672,104
Karnataka,Shimoga,08182-221010,104
Karnataka,Tumkur,08162-278787,104
Karnataka,Udupi,9663957222,104
Karnataka,Uttara Kannada,08382-229857,104
Karnataka,Yadgir,08473-253950,104
