State Name,District Name,District Helpline Number,State Helpline Number
Jharkhand,Koderma,06534-252685,104
Jharkhand,Latehar,06565-247981,104
Jharkhand,Lohardaga,100,104
Jharkhand,Pakur,06435-222065,104
Jharkhand,Palamau,06562-222077,104
Jharkhand,Ramgarh,06553-261522,104
Jharkhand,Ranchi,1950,104
Jharkhand,Sahibganj,9006963963,104
Jharkhand,Seraikela-Kharsawan,9798302485,104
Jharkhand,Simdega,06207-651659,104
Jharkhand,West-Sighbhum,7479411489,104
Karnataka,Bagalkot,1077,104
Karnataka,Bangalore,080-22967200,104
Karnataka,Bangalore Rural,080-29781021,104
Karnataka,Belgaum,0831-2424284,104
Karnataka,Bellary,08392 -277100,104
Karnataka,Bidar,18004254316,104
Karnataka,Bijapur (KAR),8352221261,104
Karnataka,Chamrajnagar,08226-223160,104
Karnataka,Chikkaballapur,08156- 277071,104
Karnataka,Chickmagalur,08262-238950,104
Karnataka,Chitradurga,08194-222050,104
Karnataka,Dakshina Kannada,0824-2442590,104
Karnataka,Davangere,08192-257778,104
Karnataka,Dharwad,08362-447547,104
Karnataka,Gadag,08372-239177,104
Karnataka,Gulbarga,08472-278604,104
Karnataka,Hassan,08172-261111,104
Karnataka,Haveri,08375-249102,104
Karnataka,Kodagu,08272 – 221077,104
Karnataka,Kolar,08152-243521,104
Karnataka,Koppal,08539-225001,104
Karnataka,Mandya,08232-224655,104
Karnataka,Mysore,0821-2423800,104
Karnataka,Raichur,08532-228559,104
Karnataka,Ramanagar,8277517672,104
Karnataka,Shimoga,08182-221010,104
Karnataka,Tumkur,08162-278787,104
Karnataka,Udupi,9663957222,104
Karnataka,Uttara Kannada,08382-229857,104
Karnataka,Yadgir,08473-253950,104
Kerala ,Alappuzha,0477-2239999,0471-2552056 
Kerala ,Ernakulam,0484-2368802,0471-2552056 
Kerala ,Idukki,8547784694,0471-2552056 
Kerala ,Kannur,0497 2700194,0471-2552056 
Kerala ,Kasargod,9037730304,0471-2552056 
Kerala ,Kollam,0474 2797609,0471-2552056 
Kerala ,Kottayam,0481 2304800,0471-2552056 
Kerala ,Kozhikode,0495 2371471,0471-2552056 
Kerala ,Malappuram,0483 2737858,0471-2552056 
Kerala ,Palakkad,0491 2505264,0471-2552056 
