STATE NAME,District Name,District Helpline Number,State Helpline Number
CHHATTISGARH,Rajnandgaon,07744 226315,104
CHHATTISGARH,Sukma,7864284012,104
CHHATTISGARH,Surajpur,91110333446,104
CHHATTISGARH,Surguja,9340267340,104
GOA,North Goa,8322225083,104
GOA,South Goa,0832-2794100,104
GUJARAT,Ahmedabad,1077,104
GUJARAT,Amreli,1077,104
GUJARAT,Anand,1077,104
GUJARAT,Aravalli,1077,104
GUJARAT,Banaskantha,1077,104
GUJARAT,Bharuch,1077,104
GUJARAT,Bhavnagar,1077,104
GUJARAT,Botad,1077,104
GUJARAT,Chhota Udaipur,1077,104
GUJARAT,Dahod,2573238277,104
GUJARAT,Devbhoomi Dwarka,1077,104
GUJARAT,Gandhinagar,1077,104
GUJARAT,Gir Somnath,1077,104
GUJARAT,Jamnagar,1077,104
GUJARAT,Junagadh,2852633131,104
GUJARAT,Kachchh,1077,104
GUJARAT,Kheda,1077,104
GUJARAT,Mahisagar,2674252300,104
GUJARAT,Mahesana,1077,104
GUJARAT,Morbi,1077,104
GUJARAT,Narmada,1077,104
GUJARAT,Navsari,1077,104
GUJARAT,Panch mahals,1077,104
GUJARAT,Patan,1077,104
GUJARAT,Porbandar,1077,104
GUJARAT,Rajkot,1077,104
GUJARAT,Sabarkantha,1077,104
GUJARAT,Surat,1077,104
GUJARAT,Surendranagar,1077,104
GUJARAT,Tapi,1077,104
GUJARAT,The Dangs,1077,104
GUJARAT,Vadodara,1077,104
GUJARAT,Valsad,1077,104
HARYANA,Ambala,0171-2530400,8558893911
HARYANA,Bhiwani,01664-242893,8558893911
HARYANA,Charkhi Dadri,01250-222555,8558893911
HARYANA,Faridabad,0129-2221000,8558893911
HARYANA,Fatehabad,01667-230018,8558893911
HARYANA,Gurgaon,9953618102,8558893911
HARYANA,Hisar,0166-2231137,8558893911
HARYANA,Jhajjar,01251-253118,8558893911
HARYANA,Kaithal,01746-222152,8558893911
HARYANA,Karnal,9817701572,8558893911
HARYANA,Kurukshetra,1744259285,8558893911
