STATE NAME, District Name, District Helpline Number, State Helpline Number
HIMACHAL PRADESH, Kinnaur, 1077, 104
HIMACHAL PRADESH, Kullu, 1077, 104
HIMACHAL PRADESH, Lahul & Spiti, 1077, 104
HIMACHAL PRADESH, Mandi, 1077, 104
HIMACHAL PRADESH, Shimla, 1077, 104
HIMACHAL PRADESH, Siramur, 1077, 104
HIMACHAL PRADESH, Solan, 01792-221234, 104
HIMACHAL PRADESH, Una, 1077, 104
JHARKHAND, Bokaro, 06542-223475, 104
JHARKHAND, Chatra, 06541-253219, 104
JHARKHAND, Deoghar, 9771935367, 104
JHARKHAND, Dhanbad, 9835352971, 104
JHARKHAND, Dumka, 9508250080, 104
JHARKHAND, East-Singhbhum, 0657-2440111, 104
JHARKHAND, Garhwa, 6561222236, 104
JHARKHAND, Giridh, 06532-228828, 104
JHARKHAND, Godda, 06422-222002, 104
JHARKHAND, Gumla, 9973763799, 104
JHARKHAND, Hazaribag, 8002529349, 104
JHARKHAND, Jamtara, 06433-222245, 104
JHARKHAND, Khunti, 7979981076, 104
JHARKHAND, Koderma, 06534-252685, 104
JHARKHAND, Latehar, 06565-247981, 104
JHARKHAND, Lohardaga, 100, 104
JHARKHAND, Pakur, 06435-222065, 104
JHARKHAND, Palamau, 06562-222077, 104
JHARKHAND, Ramgarh, 06553-261522, 104
JHARKHAND, Ranchi, 1950, 104
JHARKHAND, Sahibganj, 9006963963, 104
JHARKHAND, Seraikela-Kharsawan, 9798302485, 104
JHARKHAND, Simdega, 06207-651659, 104
JHARKHAND, West-Sighbhum, 7479411489, 104
KARNATAKA, Bagalkot, 1077, 104
KARNATAKA, Bangalore, 080-22967200, 104
KARNATAKA, Bangalore Rural, 080-29781021, 104
KARNATAKA, Belgaum, 0831-2424284, 104
KARNATAKA, Bellary, 08392 -277100, 104
KARNATAKA, Bidar, 18004254316, 104
KARNATAKA, Bijapur (KAR), 8352221261, 104
KARNATAKA, Chamrajnagar, 08226-223160, 104
KARNATAKA, Chikkaballapur, 08156- 277071, 104
KARNATAKA, Chickmagalur, 08262-238950, 104
KARNATAKA, Chitradurga, 08194-222050, 104
KARNATAKA, Dakshina Kannada, 0824-2442590, 104
KARNATAKA, Davangere, 08192-257778, 104
KARNATAKA, Dharwad, 08362-447547, 104
KARNATAKA, Gadag, 08372-239177, 104
KARNATAKA, Gulbarga, 08472-278604, 104
KARNATAKA, Hassan, 08172-261111, 104
KARNATAKA, Haveri, 08375-249102, 104
KARNATAKA, Kodagu, 08272 – 221077, 104
KARNATAKA, Kolar, 08152-243521, 104
KARNATAKA, Koppal, 08539-225001, 104
KARNATAKA, Mandya, 08232-224655, 104
KARNATAKA, Mysore, 0821-2423800, 104
KARNATAKA, Raichur, 08532-228559, 104
KARNATAKA, Ramanagar, 8277517672, 104
KARNATAKA, Shimoga, 08182-221010, 104
KARNATAKA, Tumkur, 08162-278787, 104
KARNATAKA, Udupi, 9663957222, 104
KARNATAKA, Uttara Kannada, 08382-229857, 104
KARNATAKA, Yadgir, 08473-253950, 104
KERALA , Alappuzha, 0477-2239999, 0471-2552056 
KERALA , Ernakulam, 0484-2368802, 0471-2552056 
KERALA , Idukki, 8547784694, 0471-2552056 
KERALA , Kannur, 0497 2700194, 0471-2552056 
KERALA , Kasargod, 9037730304, 0471-2552056 
KERALA , Kollam, 0474 2797609, 0471-2552056 
KERALA , Kottayam, 0481 2304800, 0471-2552056 
KERALA , Kozhikode, 0495 2371471, 0471-2552056 
KERALA , Malappuram, 0483 2737858, 0471-2552056 
KERALA , Palakkad, 0491 2505264, 0471-2552056 
KERALA , Pathanamthitta, 0468 2228220, 0471-2552056 
KERALA , Thiruvananthapuram, 0471 2466828, 0471-2552056 
KERALA , Thrissur, 9400410720, 0471-2552056 
KERALA , Wayanad, 0493 6204151, 0471-2552056 
MADHYA PRADESH, Agar Malwa, 07362 292100, 104
MADHYA PRADESH, Alirajpur, 8815835029, 104
MADHYA PRADESH, Anuppur, 07543 225501, 104
MADHYA PRADESH, Ashok Nagar, 07659 222563, 104
MADHYA PRADESH, Balaghat, 07632 240102104
MADHYA PRADESH, Barwani, 07290 224966, 104
MADHYA PRADESH, Betul, 07141 230402, 104
MADHYA PRADESH, Bhind, 7534230013, 104
MADHYA PRADESH, Bhopal, 0755 2704201, 104
MADHYA PRADESH, Burhanpur, 073252 42042, 104
MADHYA PRADESH, Chhatarpur, 07682 248546, 104
MADHYA PRADESH, Chhindwara, 07162 243423, 104
MADHYA PRADESH, Damoh, 7587986606, 104
MADHYA PRADESH, Datia, 8461946705, 104
MADHYA PRADESH, Dewas, 07272 250666, 104
MADHYA PRADESH, Dhar, 07292 235707, 104
MADHYA PRADESH, Dindori, 07644 234600, 104
MADHYA PRADESH, Khandwa, 0733 2224545, 104
MADHYA PRADESH, Guna, 07542 252746, 104
MADHYA PRADESH, Gwalior, 0751 2461574, 104
MADHYA PRADESH, Harda, 07577 225007, 104
MADHYA PRADESH, Hoshangabad, 07574 254446, 104
MADHYA PRADESH, Indore, 0731 2567333, 104
MADHYA PRADESH, Jabalpur, 0761 2637501, 104
MADHYA PRADESH, Jhabua, 07392 243315, 104
MADHYA PRADESH, Katni, 07622 422364, 104
MADHYA PRADESH, Mandla, 7642251079, 104
MADHYA PRADESH, Mandsaur, 07422 255596, 104
MADHYA PRADESH, Morena, 07532 223012, 104
MADHYA PRADESH, Narsinghpur, 07792 230681, 104
MADHYA PRADESH, Neemuch, 07423 228501, 104
MADHYA PRADESH, Niwari, 07659 222563, 104
MADHYA PRADESH, Panna, 07732 253362, 104
MADHYA PRADESH, Raisen, 07482 222217, 104
MADHYA PRADESH, Rajgarh, 07372 255067, 104
MADHYA PRADESH, Ratlam, 07412 242400, 104
MADHYA PRADESH, Rewa, 07662 255142, 104
MADHYA PRADESH, Sagar, 07582 264390, 104
MADHYA PRADESH, Satna, 07672 231413, 104
MADHYA PRADESH, Sehore, 07562 226470, 104
MADHYA PRADESH, Seoni, 7692220323, 104
MADHYA PRADESH, Shahdol, 9993260440, 104
MADHYA PRADESH, Shajapur, 07364 226727, 104
MADHYA PRADESH, Sheopur, 07530 222631, 104
MADHYA PRADESH, Shivpuri, 07492 233881, 104
MADHYA PRADESH, Sidhi, 07822 250123, 104
MADHYA PRADESH, Singrauli, 7587981392, 104
MADHYA PRADESH, Tikamgarh, 07683 242242, 104
MADHYA PRADESH, Ujjain, 0734 2520700, 104
MADHYA PRADESH, Umaria, 7653222314, 104
MADHYA PRADESH, Vidisha, 07592 237880, 104
MEGHALAYA, East Khasi Hills, 0364-2502094, 108
MEGHALAYA, Ri Bhoi, 03638-232028, 108
MEGHALAYA, West Khasi Hills, 8974579811, 108
MEGHALAYA, South West Khasi Hills, 6909904336, 108
MEGHALAYA, West Jaintia Hills, 6009693315, 108
MEGHALAYA, East Jaintia Hills, 7628079707, 108
MEGHALAYA, West Garo Hills, 6009926806, 108
MEGHALAYA, East Garo Hills, 9485113132, 108
MEGHALAYA, South Garo Hills, 7085100406, 108
MEGHALAYA, North Garo Hills, 9485113132, 108
ODISHA, Angul, 06764-234218, 9439994859
ODISHA, Balangir, 1077, 9439994859
ODISHA, Baleswar, 1077, 9439994859
ODISHA, Bargarh, 06646 232112, 9439994859
ODISHA, Bhadrak, 06784 251881, 9439994859
ODISHA, Boudh, 06841 222023, 9439994859
ODISHA, Cuttack, 1077, 9439994859
ODISHA, Debagarh, 06641-226843, 9439994859
ODISHA, Dhenkanal, 06762 221376, 9439994859
ODISHA, Gajapati, 06815- 222100, 9439994859
ODISHA, Ganjam, 0680 2224798, 9439994859
ODISHA, Jagatsinghapur, 1077, 9439994859
ODISHA, Jajapur, 1077, 9439994859
ODISHA, Jharsuguda, 6742390466, 9439994859
ODISHA, Kalahandi, 1077, 9439994859
ODISHA, Kandhamal, 06842-253650, 9439994859
ODISHA, kendrapara, 06727-232803, 9439994859
ODISHA, Kendujhar, 06766-255438, 9439994859
ODISHA, Khorda, 06755-223178, 9439994859
ODISHA, Koraput, 1077, 9439994859
ODISHA, Malkangiri, 06861-231372, 9439994859
ODISHA, Mayurbhanj, 1077, 9439994859
ODISHA, Nabarangpur, 1077, 9439994859
ODISHA, Nayagarh, 1077, 9439994859
ODISHA, Nuapada, 0667-8225357, 9439994859
ODISHA, Puri, 1077, 9439994859
ODISHA, Rayagada, 1077, 9439994859
ODISHA, Sambalpur, 1077, 9439994859
ODISHA, Sonapur, 06654 220362, 9439994859
ODISHA, Sundergarh, 06622-272233, 9439994859
UTTAR PRADESH, Allahabad, 0532-2641577, 18001805145
UTTAR PRADESH, Ambedkar Nagar, 05271-244250, 18001805145
UTTAR PRADESH, Amroha, 05922-253061, 18001805145
UTTAR PRADESH, Jyotiba Phule Nagar, 05683-249660, 18001805145
UTTAR PRADESH, Azamgarh, 05462-246831, 18001805145
UTTAR PRADESH, Badaun, 05832-266114, 18001805145
UTTAR PRADESH, Bahraich, 05252-232417, 18001805145
UTTAR PRADESH, Ballia, 05331-232796, 18001805145
UTTAR PRADESH, Banda, 05192-224460, 18001805145
UTTAR PRADESH, Barabanki, 05248-224849, 18001805145
UTTAR PRADESH, Bareilly, 0581-2428914, 18001805145
UTTAR PRADESH, Basti, 05542-287774, 18001805145
UTTAR PRADESH, Bijnor, 01342-262031, 18001805145
UTTAR PRADESH, Bulandshahr, 05732-28336, 18001805145
UTTAR PRADESH, Chandauli, 05412-262557, 18001805145
UTTAR PRADESH, Chitrakoot, 05198-235118, 18001805145
UTTAR PRADESH, Deoria, 05568-222505, 18001805145
UTTAR PRADESH, Etah, 0542-234320, 18001805145
UTTAR PRADESH, Etawah, 05688-259697, 18001805145
UTTAR PRADESH, Faizabad, 7081670802, 18001805145
UTTAR PRADESH, Farrukhabad, 05692-235423, 18001805145
